Authors,Title,Year,Issue,Page start,Page end,Abstract,Affiliations,ISBN,DOI,Link,EID,Publisher,Cited by,Source title,Source
C. Zheng,Application of Combination Thinking Model of Inspiration and Action to Effect of Pipa Teaching,2021,Null,1265,1268,"Inspiration thinking and action thinking are two important forms of thinking in pipa teaching and playing, which have different characteristics and play an important role in playing action and emotional performance. This paper makes a preliminary analysis of the concepts, characteristics and functions of the two important forms of thinking in pipa performance. Action thinking is a form of thinking that puts thinking in action and plays a unique role in pipa teaching. This article puts forward the application effect of the thinking mode that combines inspiration and action in pipa teaching.","Conservatory of Music, Luoyang Normal University, Luoyang, China",978-1-7281-8616-0,10.1109/IWCMC51323.2021.9498791,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9498791,IEEE Conferences,IEEE,0,2021 International Wireless Communications and Mobile Computing (IWCMC),IEEE Xplore
C. Xiaohong; L. Jie; M. Zhibin; X. Li,Teaching research on the cultivation of computational thinking ability by using information technology,2021,Null,564,567,"Computational thinking ability is a very important, and it is a basic necessary skill for future talents. This paper describes the shortcomings of the current education of cultivating students’ computational thinking ability, analyzes the needs of cultivating students’ innovative ways of computational thinking in the information age, and expounds the necessity of innovative education and teaching. In this paper, the project driven teaching mode and the teaching method of computational thinking cultivation are proposed. The Small Private Online Course (SPOC) teaching method is used in the teaching practice, which is a kind of information technology method. Combined with project driven and SPOC teaching methods, the students' computational thinking ability is further cultivated. In the teaching practice, the information technology and project driven learning are made full use, which are two key factors in the information age, so the students’ computational thinking ability has been greatly improved, and the teaching effect is obvious.","College of Computer Science and Technology, Harbin Engineering University, Harbin, China; College of Computer Science and Technology, Harbin Engineering University, Harbin, China; College of Mechanical and Marine Engineering, Beibu Gulf University, Qinzhou, China; College of Computer Science and Technology, Harbin Engineering University, Harbin, China",978-1-6654-2492-9,10.1109/ICAIE53562.2021.00125,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9534576,IEEE Conferences,IEEE,1,2021 2nd International Conference on Artificial Intelligence and Education (ICAIE),IEEE Xplore
C. S. González-González; P. Caballero-Gil; A. García-Holgado; F. J. García-Peñalvo; J. Molina; J. M. del Castillo-Olivares; B. C. San Juan; S. G. Cuesta; I. Perdomo; C. Caballero-Gil; F. Gutíerrez-Vela; P. Paderewski; V. V. Holz; R. G. Iranzo; S. Ramos,COEDU-IN Project: an inclusive co-educational project for teaching computational thinking and digital skills at early ages,2021,Null,1,4,"Learning to program is the new literacy of the 21st century. Computational thinking, closely related to programming, requires thinking and solving problems with different levels of abstraction and is independent of hardware devices. The early childhood education stage provides teachers with the opportunity to lay the foundations for a comprehensive quality education using innovative tools and technologies. Educational robotics in early childhood education becomes a tool that facilitates the acquisition of knowledge to children, playfully, based on the principles of interactivity, social interrelationships, collaborative work, creativity, constructivist and constructionist learning, and a student-centered didactic approach, allowing in turn that student can acquire digital competencies and develop logical and computational thinking in an underlying way. This project explores the current state of teaching and learning computational thinking and programming in early childhood education in an inclusive manner. Moreover, the lack of diversity and inequality is particularly latent in science, Technology, Engineering, and Mathematics (STEM) fields. Therefore, this work considers this problem and presents an inclusive coeducation approach to this new literacy, eliminating gender stereotypes and extending them to people with Down syndrome and hospitalized minors.","IUEM, University of La Laguna, La Laguna, Spain; IUEM, University of La Laguna, La Laguna, Spain; University of Salamanca, Salamanca, Spain; University of Salamanca, Salamanca, Spain; IUEM, University of La Laguna, La Laguna, Spain; University of La Laguna, La Laguna, Spain; University of La Laguna, La Laguna, Spain; IUEM, University of La Laguna, La Laguna, Spain; IUEM, University of La Laguna, La Laguna, Spain; University of La Laguna, La Laguna, Spain; Universidad de Granada, Granada, Spain; Universidad de Granada, Granada, Spain; University of Barcelona, Barcelona, Spain; University of Lleida, Lleida, Spain; University of Valencia, Valencia, Spain",978-1-6654-4024-0,10.1109/SIIE53363.2021.9583648,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9583648,IEEE Conferences,IEEE,1,2021 International Symposium on Computers in Education (SIIE),IEEE Xplore
C. Mercier; L. Roux; M. Romero; F. Alexandre; T. Viéville,Formalizing Problem Solving in Computational Thinking : an Ontology approach,2021,Null,1,8,"We introduce the idea of a symbolic description of a complex human learning task, in order to contribute to better understand how we learn. The learner is modeled on the basis of knowledge from learning sciences with the contribution of cognitive neurosciences, including machine learning formalism, in the very precise framework of a task, named #CreaCube reviewed here, related to initiation to computational thinking presented as an open-ended problem, which involves solving a problem and appealing to creativity. We target problem-solving tasks using tangible interfaces for computational thinking initiation, and describe in details how we model the task and the learner behavior in this task, including goal-driven versus stimulus-driven behavior and the learner knowledge construction. We show how formalizing these elements using an ontology offers a well-defined computational model and the possibility of inferences about model elements, analyzing and predicting the learner behavior. This operationalization of a creative problem-solving task is still at a preliminary stage, but an effective proof of concept is described in this study.","Mnemosyne, Inria, Bordeaux, France; Laboratoire d’Innovation et Numérique Pour l’Education, Université Côte d’Azur, Nice, France; Laboratoire d’Innovation et Numérique Pour l’Education, Université Côte d’Azur, Nice, France; Mnemosyne, Inria, Bordeaux, France; Mnemosyne, Inria, Bordeaux, France",978-1-7281-6242-3,10.1109/ICDL49984.2021.9515660,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9515660,IEEE Conferences,IEEE,4,2021 IEEE International Conference on Development and Learning (ICDL),IEEE Xplore
C. F. Rodrigues; I. F. Silveira,Gamified forms: a proposal for teaching training based on Computational Thinking,2021,Null,570,573,"The disappointing results that Brazilian education has been showing in external evaluations by international organizations cause us concern. Technologies are here to stay and it is therefore necessary, in some way, to change this paradigm with regard to the role that the teacher plays, from consumer to producer of technological resources. And, trying to contribute to this extremely complex scenery, this paper intends to show how a proposal launched in teacher education combined aspects of gamification and computational thinking, aiming to bring another look at teaching practice, or at least, increase the pedagogical repertoire of fellow Science and Mathematics teachers who participated in the meeting promoted by the Department of Education of the city of Taubaté, in the state of São Paulo. As a proposal, a suggestion of gamified activity in the style of a game known as “escape room” was presented, using the Google Forms tool. We note that insecurity with technological tools or lack of knowledge about some features of these same tools is still a factor that causes many concerns among teachers. We concluded that reflection on ourpractice is fundamental, and, in a way, we realize that we have managed to broaden our horizons about the use of certain technological tools.","Professor da rede pública de ensino, Mestrando em ensino de Ciências e Matemática, Taubaté, SP, Brasil; Universidade Presbiteriana Mackenzie-SP Universidade Cruzeiro do Sul-SP, São Paulo, SP, Brasil",978-1-6654-2358-8,10.1109/LACLO54177.2021.00105,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9725170,IEEE Conferences,IEEE,0,2021 XVI Latin American Conference on Learning Technologies (LACLO),IEEE Xplore
C. -C. Hu; M. -H. Chen; I. Yuadi; N. -S. Chen,The effects of constructing robot-based storytelling system on college students' computational thinking skill and technology comprehension,2022,Null,496,500,"Recent college students have been observed to be motivated and engaged in acquiring information and communication technology (ICT) knowledge and skills with robots and digital media. The purpose of this study is to develop students’ technology comprehension through a learning activity by constructing robot-based storytelling systems. A sample of 15 college students participated in the program. Data collected include the pre-and post-computational thinking tests (CTt) and computational thinking skill (CTs) tests for evaluating their learning effects of technology comprehension (TC) in terms of computational thinking knowledge and skills and their perceptions toward the robot-based storytelling development environment and learning activities. The results show that the learning activities were an effective approach for enhancing the students’ TC as shown in the post-test. The differences between the students’ CT and perceptions were also confirmed. The results revealed that the learning activities with the robot-based storytelling development environment could improve the students’ TC knowledge and skills, and learning perceptions.","Department of Information Management, Tatung University No.40, Sec. 3, Zhongshan N. Rd., Taipei City, Taiwan; Department of Information Management, Tatung University No.40, Sec. 3, Zhongshan N. Rd., Taipei City, Taiwan; Department of Information and Library Science, Airlangga University Jl. Airlangga 4-6, Surabaya, Indonesia; Institute for Research Excellence in Learning Sciences and Program of Learning Sciences, National Taiwan Normal University 162, Section 1, Heping E. Rd., Taipei City, Taiwan",979-11-88428-08-3,10.23919/ICACT53585.2022.9728803,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9728803,IEEE Conferences,IEEE,4,2022 24th International Conference on Advanced Communication Technology (ICACT),IEEE Xplore
C. Hösel; M. Heinzig; R. Vogel; C. Roschke; A. Kühn; F. Schmidsberger; M. Vodel; M. Ritter,Adaptation of a Research-based Teaching-Learning Format with Approaches of Online Learning in the STEM Field,2022,Null,1,6,"Research-based learning (RBL) familiarizes students with the academic research process at an early stage and at the same time offers them the opportunity to actively shape their own learning process. Working on their own research problems allows students to go through the entire research cycle, which promotes not only subject and methodological competencies but also the students' self-competencies. The handling of subject-specific and didactic challenges of this form of teaching-learning has been discussed many times in the past. New challenges for research-based learning now arise from the shift of teaching and learning to virtual space associated with the COVID-19 pandemic. This paper focuses on the adaptation of a research-based teaching-learning format to the demands of e-learning in the course Interaction Science with Artificial Intelligence. We evaluated the adapted teaching-learning format with 18 students in a master's program in STEM. The students stated an increase in professional competence in the areas of programming, data preparation and data visualization. Our results suggest that peer group and direct interaction via synchronous communication channels are important structural frameworks for research-based learning in an online learning context. From our results, we can derive initial implications for online-based RBL in the field of computational education.","Faculty Applied Computer Sciences & Biosciences, Hochschule Mittweida, Mittweida, Germany; Faculty Applied Computer Sciences & Biosciences, Hochschule Mittweida, Mittweida, Germany; Faculty Applied Computer Sciences & Biosciences, Hochschule Mittweida, Mittweida, Germany; Faculty Applied Computer Sciences & Biosciences, Hochschule Mittweida, Mittweida, Germany; Faculty Applied Computer Sciences & Biosciences, Hochschule Mittweida, Mittweida, Germany; Faculty Applied Computer Sciences & Biosciences, Hochschule Mittweida, Mittweida, Germany; Faculty Applied Computer Sciences & Biosciences, Hochschule Mittweida, Mittweida, Germany; Faculty Applied Computer Sciences & Biosciences, Hochschule Mittweida, Mittweida, Germany",978-1-6654-7095-7,10.1109/ICECCME55909.2022.9988046,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9988046,IEEE Conferences,IEEE,0,"2022 International Conference on Electrical, Computer, Communications and Mechatronics Engineering (ICECCME)",IEEE Xplore
C. Yang; W. Lv; W. Zhang,PBL Teaching with Design Thinking: Construction and Case Study of Programming Teaching Model in High School,2022,Null,69,76,"Programming education is a crucial part of school education and an important way to effectively enhance learners' learning abilities. However, current programming education in secondary schools is not as effective as it could be in concrete implementation. Project-based learning is a possible path for programming education, but it is still difficult to achieve the goal of cultivating innovative talents by project-based learning alone. Therefore, in this paper, we integrate design thinking into project-based learning, firstly, we analyze the connotation of design thinking and explain the necessity of integrating design thinking into project-based learning; secondly, we construct a new model and practice process framework of secondary school programming PBL teaching integrating design thinking based on the general process of project-based learning and the basic model of design thinking, and explain the connotation. Finally, a case study of “Python programming” in the new version of high school IT textbook is conducted to provide reference for the practice of secondary school programming education.","Faculty of Education, Shaanxi Normal University, Xi'an, China; Faculty of Education, Shaanxi Normal University, Xi'an, China; Faculty of Education, Shaanxi Normal University, Xi'an, China",978-1-6654-8188-5,10.1109/CSTE55932.2022.00019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9973148,IEEE Conferences,IEEE,0,2022 4th International Conference on Computer Science and Technologies in Education (CSTE),IEEE Xplore
C. Boya-Lara; D. Diaz-Solano; A. Fehrenbach; D. Saavedra,A STEM Course for Computational Thinking Development with BEAM Robotics,2022,Null,1,6,"This document describes the development of a STEM course intended to improve the Computational Thinking of university students (CT). The main instructional tool for this course is the BEAM robot, a robotics paradigm that proposes simple robots whose behavior can be controlled without software programming. The programming of this robot is implicit in its morphology, so its actions and goals are codified from its construction. A three-phase curriculum is designed to achieve the objective: propaedeutic, robot assembly, and CT. On the basis of these phases, the course is constructed modularly and implemented virtually, while students receive construction kits. Each phase aims to foster the many facets of CT, such as decomposition, abstraction, algorithm, debugging, iteration, and generalization. Students’ responses to pre-and post-course surveys, as well as evaluation activities and logs, are analyzed to determine the course’s impact on them. In addition to other STEM disciplines (electrical, electronic, mechanical, and WEEE), the course substantially improves the CT.","Grupo de Investigación en Ingeniería y Nuevas Tecnologías aplicadas (GRINTEC), Universidad Interamericana de Panamá, Panama City, Panama; Grupo de Investigación en Ingeniería y Nuevas Tecnologías aplicadas (GRINTEC), Universidad Interamericana de Panamá, Panama City, Panama; Grupo de Investigación en Ingeniería y Nuevas Tecnologías aplicadas (GRINTEC), Universidad Interamericana de Panamá, Panama City, Panama; Grupo de Investigación en Ingeniería y Nuevas Tecnologías aplicadas (GRINTEC), Universidad Interamericana de Panamá, Panama City, Panama",978-1-7281-6715-2,10.1109/CONCAPAN48024.2022.9997660,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9997660,IEEE Conferences,IEEE,0,2022 IEEE 40th Central America and Panama Convention (CONCAPAN),IEEE Xplore
C. Wang,Incorporating Real World Examples in a Random Signal Analysis Course,2022,Null,1,5,"This Research to Practice Full Paper presents the design and initial evaluation of engaging students in a random signal analysis course through a set of application-oriented mini-projects involving real-world examples. Many students struggle learning the concepts of probability and random processes due to its abstract nature. The goal of these mini-projects is to help students better understand abstract course concepts, let them practice applying course concepts to solve real world problems, and at the same time, improve their critical thinking and problem solving skills. This paper will describe the design and implementation of these mini-projects, as well as their preliminary evaluation.","Ira A. Fulton Schools of Engineering, Arizona State University, Tempe, AZ, USA",978-1-6654-6244-0,10.1109/FIE56618.2022.9962566,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9962566,IEEE Conferences,IEEE,0,2022 IEEE Frontiers in Education Conference (FIE),IEEE Xplore
C. A. Gomes; H. Gomes; M. Figueiredo; A. Lucas; L. Menezes,MindMaths: learning mathematics in the early years through computational thinking and robotics,2022,Null,1,6,"MindMaths is an EU-funded project, started in 2020, with partners from Portugal, Italy, Turkey and Latvia, aiming to cope with math anxiety and problems with mathematics learning in primary education, using educational robotics. Throughout Flipped Learning Practices its focus is on initial primary teacher training, designing learning activities and resources to fulfill this challenge of preparing the future teachers to use robotics to release math anxiety. This paper presents an overview of the MindMaths Project and the main ideas underlying its development in the Portuguese context. It frames the more relevant learning issues in primary math education, presents the most significant initiative of programing and robotics in the Portuguese scene and discuss the potential that computational thinking and robotics offer for learning meaningful mathematics in the early years. It also presents a pilot study in a polytechnic school with the participation of 20 students, future teachers, discussing the main ideas of its development and results.","School of Education and CI&DEI, (Polytechnic Institute of Viseu), Viseu, Portugal; School of Education (Polytechnic Institute of Viseu) CIDMA, University of Aveiro, Viseu, Portugal; School of Education and CI&DEI, (Polytechnic Institute of Viseu), Viseu, Portugal; School of Education and CCTIC Viseu, (Polytechnic Institute of Viseu), Viseu, Portugal; School of Education and CI&DEI, (Polytechnic Institute of Viseu), Viseu, Portugal",978-1-6654-7464-1,10.1109/SIIE56031.2022.9982320,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9982320,IEEE Conferences,IEEE,0,2022 International Symposium on Computers in Education (SIIE),IEEE Xplore
C. Vieira; D. Restrepo; J. L. De La Hoz,Computational Notebooks in a Finite Element Analysis Course: Engineering Students' Reflections on the Value and Challenges of Computational Approaches,2023,Null,1,5,"This work-in-progress paper introduces an innovative approach that uses computational notebooks to teach Finite Element Analysis (FEA) in a Mechanical Engineering undergraduate course to aid the understanding of complex phenomena in Mechanics of Materials, and enhance students' computational thinking skills. Research indicates that students, irrespective of their educational level, face difficulties in grasping fundamental concepts in mechanics of materials. These challenges arise from the inherent complexity of concepts like stress, strain, torsion, and buckling, which are difficult to observe, hindering comprehension. Therefore, this work aims to leverage the synergy between mechanics of materials and computational principles to actively engage students in advanced topics such as structural strength, failure of structures, and sensitivity analysis, through the use of computational notebooks. To evaluate the effectiveness of this approach, we first asked students to analyze truss structures using hand calculations following the discrete stiffness method within a Finite Element Analysis framework. Subsequently, we implemented the same method as a simulation tool in a MATLAB Computational Notebook. Finally, we asked the students to reflect on: (1) the value of using computational methods to approach Finite Element Analysis when compared to hand calculations; (2) the difficulties they faced when implementing the activities in the MATLAB Computational Notebook; (3) the support they required to successfully complete these activities; and (4) the effectiveness of the simulation tool in understanding the effect of forces and stress distributions in structures. We anticipate that computational notebooks will provide an ideal platform for sharing lessons and tutorials, enhancing student engagement, and promoting active learning. Students have access to the complete source code, allowing them to develop computational skills. Early exposure to coding, modeling, and simulation techniques is crucial in preparing students for the computational demands of modern engineering workplaces.","Department of Education, Universidad del Norte, Barranquilla, Colombia; Department of Mechanical Engineering, The University of Texas at San Antonio, San Antonio, Texas; Department of Education, Universidad del Norte, Barranquilla, Colombia",979-8-3503-3642-9,10.1109/FIE58773.2023.10342890,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10342890,IEEE Conferences,IEEE,0,2023 IEEE Frontiers in Education Conference (FIE),IEEE Xplore
C. Zhu; J. E. Ahn; L. Cui; R. Hare; Y. Tang,Engineering Human Body for Systematic and Computational Thinking,2023,Null,1,5,"This Research to Practice Work-in-Progress paper discusses a next-generation learning system for K-12 students to educate them on scientific concepts surrounding the human body. Specifically, our gamified learning system is designed to make learning more fun, engaging, and effective through game and experiment elements that align with science and math learning standards. It will also increase systematic problem-solving and algorithmic reasoning for K-12 students. Since the human body can be thought of as a combination of interacting systems, the game also introduces students to computational thinking by introducing internal body functions. To achieve these goals, this project has two components. First, an educational virtual reality game will be built according to the natural human body structure. During the game process, students will experience the same as the human body functions, travel along the blood circulation, help with the heartbeat, and participate in oxygen exchange. While students are playing the game, our gamified adaptive learning system tracks and controls the student's learning progress. As the AI component collects student data and uses this information, our system adjusts game content and addresses possible learner issues to refine the learning curriculum for a faster and more effective learning experience. Second, a series of hands-on activities will be conducted based on the functions of the human body (e.g., developing an artificial heart and experiencing how the heart works). Through this project, an attractive and efficient next-generation learning system will be developed and used to expose K-12 students to this learning system. The education of students will be accomplished in different dimensions through games and hands-on practice, respectively. Additionally, compared to traditional learning methods, our learning system not only increases students' interest in learning but also makes it more personalized compared to the conventional learning process. Likewise, we will refer to the results of self-efficacy surveys administered to students and teachers separately to test their perceptions of their abilities and the new system.","dept. of Electr. & Comput. Engineering, Rowan University, Glassboro, NJ, USA; dept. of Civ. & Environ. Engineering, Rowan University, Glassboro, NJ, USA; dept. of Electr. & Comput. Engineering, Rowan University, Glassboro, NJ, USA; dept. of Electr. & Comput. Engineering, Rowan University, Glassboro, NJ, USA; dept. of Electr. & Comput. Engineering, Rowan University, Glassboro, NJ, USA",979-8-3503-3642-9,10.1109/FIE58773.2023.10342946,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10342946,IEEE Conferences,IEEE,0,2023 IEEE Frontiers in Education Conference (FIE),IEEE Xplore
C. -H. Lai; C. -H. Hsieh,Exploring the Impact of the Learning Sequence of Computational Thinking and Programming on Learning Outcomes,2023,Null,175,179,"The primary objective of this research was to investigate effective learning sequences starting with computational thinking, programming, or both. We experimented with and analyzed the learning sequence of students from the Department of Computer Engineering, Information Management, and Mechanical Engineering. The findings indicated that the students of the Department of Computer Engineering possessed prior experiences in programming or computational thinking. Their learning sequences limitedly impacted learning outcomes. Conversely, for the students of the Department of Information Management, learning computational thinking before programming did not result in better learning outcomes, emphasizing the need for coherence in courses. The students of the Department of Mechanical Engineering showed the practical value of computational thinking in non-IT disciplines, particularly in using specialized software such as MATLAB. For students with foundational knowledge, the learning sequence between learning computational thinking and programming was less significant. However, for beginners or those from non-IT backgrounds, effective learning required the coherence and integration of courses. Thus, it is required to maintain cross-course coherence and establish links between computational thinking and programming skills to offer a more in-depth learning experience.","Department of Information and Computer Engineering, Chung Yuan Christian University, Taoyuan, Taiwan; Department of Information and Computer Engineering, Chung Yuan Christian University, Taoyuan, Taiwan",979-8-3503-2778-6,10.1109/SSIM59263.2023.10469197,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10469197,IEEE Conferences,IEEE,0,2023 IEEE 3rd International Conference on Social Sciences and Intelligence Management (SSIM),IEEE Xplore
C. Wang; Z. Man; J. Jin; W. Ye,Hash-Based Convolutional Deep-thinking Pattern Classifier,2023,Null,1,6,"To address pattern classification problems without involving complex computations, a Hash-Based Convolutional Deep-Thinking Pattern Classifier (HCDTPC) has been developed. This classifier draws inspiration from the human visual system and human thinking logic. The architecture consists of five layers, each serving a distinct purpose. In the initial convolutional layer, informative and distinct features are extracted, mimicking the functionality of the human visual system. The subsequent clustering layer employs a clustering algorithm to group samples within a class into smaller clusters. This arrangement allows the following layer to compare test samples across different clusters, replicating a human-like classification process where the most similar samples should belong to the same group. The hashing layer of the devised system employs a similarity-preserve hashing technique to transform feature maps into hashed data. This transformation reduces the dimensionality of the data while retaining essential similarity information. In the logical layer, Bayesian inference is employed to classify testing samples, mirroring human thought processes. The simulation section assesses the performance of the HCDTPC, demonstrating its effectiveness and efficiency in pattern classification.","Faculty of Science, Engineering and Technology, Swinburne University of Technology, Melbourne, Australia; Faculty of Science, Engineering and Technology, Swinburne University of Technology, Melbourne, Australia; Faculty of Science, Engineering and Technology, Swinburne University of Technology, Melbourne, Australia; College of Engineering and Science, Victoria University, Melbourne, Australia",979-8-3503-0747-4,10.1109/ICAMechS59878.2023.10272839,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10272839,IEEE Conferences,IEEE,2,2023 International Conference on Advanced Mechatronic Systems (ICAMechS),IEEE Xplore
C. -Y. Chang; Z. Du; H. -C. Kuo; C. -C. Chang,Investigating the Impact of Design Thinking-Based STEAM PBL on Students’ Creativity and Computational Thinking,2023,6.0,673,681,"Contribution: This study represents the first systematic attempt to develop Science, Technology, Engineering, Arts, and Mathematics (STEAM) integrated project-based learning (PBL) as a transdisciplinary teaching method for fostering students’ creativity and computational thinking (CT) skills. Background: With the growing importance of creativity and CT skills in the modern world, there is a need for innovative teaching methods that can effectively nurture these abilities in students. This study explores the potential of integrating STEAM into PBL as a transdisciplinary teaching approach to address this need. Intended Outcomes: The outcomes of this approach include significant improvements in various dimensions of students’ creativity (fluency, flexibility, originality, and elaboration) and enhanced CT skills, particularly in medium and hard tasks. Application Design: The study involved 54 junior high school seventh-graders, with 28 students in the experimental group and 26 students in the comparison group. The experimental group was exposed to a semester of STEAM PBL, while the comparison group followed the regular curriculum. Findings: After a semester of STEAM PBL, the experimental group demonstrated significant improvements in creativity dimensions, while the comparison group showed no significant changes. In terms of CT skills, the experimental group exhibited significant improvements in medium and hard tasks, whereas the comparison group did not. These results highlight the potential benefits of integrating STEAM into PBL as a transdisciplinary teaching approach for enhancing students’ creativity and CT skills. The implications for educational practice and future research are discussed in depth.","Manchester Institute of Education, The University of Manchester, Manchester, U.K.; UCL Institute of Education, University College London, London, U.K.; Center of Teacher Education and Graduate Institute of Education, National Cheng Kung University, Tainan, Taiwan; Institute of Education and Center for Teacher Education, National Sun Yat-sen University, Kaohsiung, Taiwan",Null,10.1109/TE.2023.3297221,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10213395,IEEE Journals,IEEE,1,IEEE Transactions on Education,IEEE Xplore
C. P. Singh; Y. Kerimbekov; T. Cech,Enhancing Students' Computational Ability Using Multiple Intelligence: A Case Study with High School Computer Science Students,2023,Null,1,6,"In the rapidly evolving landscape of education, the cultivation of computational skills and the enhancement of students' intellectual abilities remain of paramount importance. This research paper delves into the innovative approach of leveraging Multiple Intelligence (MI) theory to foster computational skills among high school students. The study specifically focuses on a group of 26 computer science high school students at N azarbayev Intellectual School in Shymkent, Kazakhstan. The research employs a comprehensive and structured methodology that integrates MI principles into the classroom environment. Over a designated timeframe, students participate in a variety of activities designed to engage and stimulate each of their unique intelligences. Language, mathematics, spatial perception, motor skills, music, personal, and intrapersonal communication intelligences are all encompassed in these pursuits., creating a holistic learning experience. Data collection encompasses a multitude of measures, including pre- and post-assessments, observations, and student feedback, to gauge demonstrate the significant improvement in students' computational abilities following the MI-enhanced curriculum. In particular, students displayed increased problem-solving skills, critical thinking, creativity, and adaptability when confronted with computational challenges. The conclusion of this study contribute significant analysis into the potential of MI theory to transform traditional computer science education. By providing a dynamic and inclusive learning environment that nurtures students' diverse intellectual strengths, educators can empower learners to excel in computational disciplines. This research paper encourages further exploration of MI- based strategies to enhance computational abilities and inspires a shift towards more personalized and inspires a shift towards more personalized and effective teaching methodologies.","South Kazakhstan Pedagogical University, Shymkent, Kazakhstan; South Kazakhstan Pedagogical University, Shymkent, Kazakhstan; Institute of Education and Social Science, Czechia",979-8-3503-9324-8,10.1109/ICCAKM58659.2023.10449638,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10449638,IEEE Conferences,IEEE,0,"2023 4th International Conference on Computation, Automation and Knowledge Management (ICCAKM)",IEEE Xplore
Dai-Yi Wang; Zong-Han Wu; Chuen-Tsai Sun; S. S. J. Lin,Using agents and simulation to develop adequate thinking styles,2005,Null,890,894,"Reinforcement learning theory encourages the use of agents for stimulating and assisting learners in their efforts to develop thinking styles. In this study the authors looked at a similar scenario of human-environmental interaction using Internet-mediated simulations as learning environments. One hundred and forty-nine vocational high schools students participated in this study to see if they can develop adequate thinking style when they learned in a simulation environment with help from agents. The results show that the judicial thinking style was best suited to the system we designed for this project - that is, we observed the greatest amount of development for this particular thinking style. Our results indicate that it is possible to establish and support thinking styles via Internet-mediated simulations.","Department of Computer and Information Science, National Chiao Tung University, Hsinchu, Taiwan; Department of Computer and Information Science, National Chiao Tung University, Hsinchu, Taiwan; Department of Computer and Information Science, National Chiao Tung University, Hsinchu, Taiwan; Center for Teacher Education, National Chiao Tung University, Hsinchu, Taiwan",0-7695-2338-2,10.1109/ICALT.2005.298,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1508848,IEEE Conferences,IEEE,0,Fifth IEEE International Conference on Advanced Learning Technologies (ICALT'05),IEEE Xplore
D. F. Shell; M. P. Hazley; L. -K. Soh; L. Dee Miller; V. Chiriacescu; E. Ingraham,Improving learning of computational thinking using computational creativity exercises in a college CSI computer science course for engineers,2014,Null,1,7,"Promoting computational thinking is a priority in CS education and other STEM and non-STEM disciplines. Our innovative, NSF-funded IC2Think project blends computational and creative thinking. In Spring 2013, we deployed Computational Creativity Exercises (CCE) designed to engage creative competencies (Surrounding, Capturing, Challenging and Broadening) in an introductory CSI course for engineering students. We compared this CCE implementation semester (80 students, 95% completing 3 or 4 CCEs) to the Fall 2013 semester of the same course (55 students) without CCEs. CCE implementation students had significantly higher scores on a CS concepts and skills knowledge test (F(1, 132) = 7.72, p < 01, partial Eta2 = .055; M=7.47 to M=6.13; 13 items) and significantly higher self-efficacy for applying CS knowledge in their field (F(1, 153) = 12.22, p < .01, partial Eta2 = .074; M=70.64 to M=61.47; 100-point scale). CCE implementation students had significantly higher study time (t(1, 136) = 2.08, p = .04; M=3.88 to M=3.29; 7-point scale) and significantly lower lack of regulation, which measures difficulties with studying (t(1, 136) = 2.82, p = .006; M=2.80 to M=3.21; 5-point scale). The addition of computational creativity exercises to CS courses may improve computational thinking and learning of CS knowledge and skills.","Department of Educational Psychology, University of Nebraska, Lincoln; Department of Educational Psychology, University of Nebraska, Lincoln; Department of Computer Science and Engineering, University of Nebraska, Lincoln; Department of Computer Science and Engineering, University of Nebraska, Lincoln; Department of Computer Science and Engineering, University of Nebraska, Lincoln; Department of Art and Art History, University of Nebraska, Lincoln",978-1-4799-3922-0,10.1109/FIE.2014.7044489,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7044489,IEEE Conferences,IEEE,15,2014 IEEE Frontiers in Education Conference (FIE) Proceedings,IEEE Xplore
